Week,Argentina,Australia,Brazil,Kenya,Malaysia,USA
01.08.2016 – 07.08.2016,301,1482,2235,1215,2223,4599
08.08.2016 – 14.08.2016,896,819,2253,1980,2949,5106
15.08.2016 – 21.08.2016,659,1914,2511,2148,1926,3696
22.08.2016 – 28.08.2016,245,1095,1992,1206,3363,5742
29.08.2016 – 04.09.2016,975,1887,3222,2319,3588,2739
05.09.2016 – 11.09.2016,1953,2037,3387,1566,2745,3516
12.09.2016 – 18.09.2016,1251,1839,3765,2895,2262,6648
19.09.2016 – 25.09.2016,999,1794,771,1854,3105,2796
26.09.2016 – 02.10.2016,2820,1953,3516,2904,3762,5706
