Week,Argentina,Australia,Brazil,Kenya,Malaysia,USA
01.08.2016 – 07.08.2016,702,1200,560,335,1338,3045
08.08.2016 – 14.08.2016,422,575,516,417,1865,3175
15.08.2016 – 21.08.2016,418,1098,695,427,1382,2383
22.08.2016 – 28.08.2016,267,842,518,291,2127,3603
29.08.2016 – 04.09.2016,246,1413,800,608,2553,1813
05.09.2016 – 11.09.2016,513,1320,663,421,1402,1862
12.09.2016 – 18.09.2016,328,1030,746,542,1444,3942
19.09.2016 – 25.09.2016,238,1174,837,447,2266,1931
26.09.2016 – 02.10.2016,606,1054,831,795,2539,3679
